target,text
0,ok dear call chechi
0,joy father john john joy father u an th hav lt gt iq ti ia question try answer
0,hope great new semester wish best made greatness
0,thanks love torch bold
1,rock yr chik get 100 filthy film xxx pic yr phone rply filth saristar ltd e14 9yt 08701752560 450p per 5 day stop2 cancel
0,check room befor activity
0,fuuuuck need stop sleepin sup
0,photoshop make computer shut
0,guy go see movie side
0,let snow let snow kind weather brings ppl together friendship grow
0,late need go n get da laptop
0,neither sterm voice studying fine sure thing resolved tho anyway fab hols
0,appt lt time gt fault u listen told u twice
0,eat jap done oso aft ur lect wat ìï got lect 12 rite
0,slaaaaave must summon time wish come anymore
0,seriously tell exact word right
0,currently scotland
0,gd got free ice cream oso wan
0,know jack shit anything something helpful want pretend text whatever response hypotheticalhuagauahahuagahyuhagga
0,exam february wish great day
0,piggy r u awake bet u still sleeping going 4 lunch
0,daily text favour time
0,hi dear call urgnt know whats problem want work problem least tell wating reply
0,hear
0,know account detail ask mom send mom reach
0,much payed suganya
0,horrible gal sch stuff come u got mc
0,hey u still gym
0,eh ur laptop got stock lei say mon muz come take look c got
0,nothing got msg frm tht unknown
0,hi happy birthday hi hi hi hi hi hi hi
1,win newest potter order phoenix book 5 reply harry answer 5 question chance first among reader
0,wondering would okay call uncle john let know thing nigeria r lt gt dollar 2years sent know strain plan pay back every dime give every dime expect anything practical something like
0,prefer free day tues wed fri oso ìï ask workin lor
0,next lt gt hour imma flip shit
0,velly good yes please
1,upgrdcentre orange customer may claim free camera phone upgrade loyalty call 0207 153 offer end 26th july c apply available
0,okay thought expert
0,take like noon
0,lip synced shangela
0,great hope using connection mode men also co never know old friend lead today
1,nokia 7250i get win free auction take part send nokia 86021
0,1 number 2 gon na massive pain as rather get involved possible
0,omg u know ate
0,aight fuck get later
0,dun thk quit yet hmmm go jazz yogasana oso go meet em lesson den
0,make lasagna vodka
0,wait still clear sure sarcastic x want live u
0,done sorry hope next space give everything want remember furniture around move lock lock leave key jenne
